2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:27 -04:00: > mission-control@0.1.0 dev
2026-03-09 14:08:27 -04:00: > PORT=3333 next dev
2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:28 -04:00: ▲ Next.js 16.1.6 (Turbopack)
2026-03-09 14:08:28 -04:00: - Local:         http://localhost:3333
2026-03-09 14:08:28 -04:00: - Network:       http://192.168.5.41:3333
2026-03-09 14:08:28 -04:00: - Environments: .env
2026-03-09 14:08:28 -04:00: 
2026-03-09 14:08:28 -04:00: ✓ Starting...
2026-03-09 14:08:28 -04:00: ✓ Ready in 603ms
2026-03-09 14:13:57 -04:00:  GET /api/agents/status 200 in 10ms (compile: 3ms, render: 8ms)
2026-03-09 14:13:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 12ms (compile: 7ms, render: 5ms)
2026-03-09 14:13:57 -04:00:  GET /api/agents/status 200 in 3ms (compile: 881µs, render: 3ms)
2026-03-09 14:13:57 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 1085µs, render: 5ms)
2026-03-09 14:13:59 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 4ms)
2026-03-09 14:14:04 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:14:07 -04:00:  GET /api/agents/status 200 in 10ms (compile: 7ms, render: 3ms)
2026-03-09 14:14:07 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 19ms (compile: 1970µs, render: 17ms)
2026-03-09 14:14:07 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 880µs, render: 6ms)
2026-03-09 14:14:08 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 924µs, render: 4ms)
2026-03-09 14:14:09 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:14:14 -04:00:  GET /api/costs/live 200 in 4ms (compile: 1058µs, render: 3ms)
2026-03-09 14:14:17 -04:00:  GET /api/agents/status 200 in 7ms (compile: 4ms, render: 3ms)
2026-03-09 14:14:17 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 14ms (compile: 1576µs, render: 13ms)
2026-03-09 14:14:18 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 1023µs, render: 6ms)
2026-03-09 14:14:19 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:14:24 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:14:27 -04:00:  GET /api/agents/status 200 in 10ms (compile: 3ms, render: 7ms)
2026-03-09 14:14:27 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 12ms (compile: 7ms, render: 5ms)
2026-03-09 14:14:27 -04:00:  GET /api/agents/status 200 in 3ms (compile: 722µs, render: 2ms)
